sentence_id,dialect,sentence,pos_tags,,Checked,
17,MSA,أريد حجز غرفتين مزدوجتين .,أريد/verb حجز/noun غرفتين/noun مزدوجتين/adj ./punc,,TRUE,
18,MSA,لا أريد إزالتها .,لا/part_neg أريد/verb إزالتها/noun ./punc,,TRUE,
19,MSA,هل هذه الحافلة تتوقف في شارع أستونر ؟,هل/part_interrog هذه/pron_dem الحافلة/noun تتوقف/verb في/prep شارع/noun أستونر/noun_prop ؟/punc,,TRUE,
24,MSA,من فضلك افتح فمك على مداه .,من/prep فضلك/noun افتح/verb فمك/noun على/prep مداه/noun ./punc,,TRUE,
26,MSA,كم تكلفة الإفطار ؟,كم/adv_interrog تكلفة/noun الإفطار/noun ؟/punc,,TRUE,
27,MSA,كيف أستطيع مساعدتك ؟,كيف/adv_interrog أستطيع/verb مساعدتك/noun ؟/punc,,TRUE,
29,MSA,دعنا نأخذ قطعة لنأكلها .,دعنا/verb نأخذ/verb قطعة/noun لنأكلها/verb ./punc,,TRUE,
30,MSA,اتجه يسارا عند الناصية الثالثة .,اتجه/verb يسارا/adv عند/prep الناصية/noun الثالثة/adj ./punc,,TRUE,
31,MSA,هل لك أن تقوم بتنظيف هذه الملابس ؟,هل/part_interrog لك/prep أن/conj_sub تقوم/verb بتنظيف/noun هذه/pron_dem الملابس/noun ؟/punc,,TRUE,
37,MSA,أعطيك رقم تليفونه وعنوانه .,أعطيك/verb رقم/noun تليفونه/noun وعنوانه/noun ./punc,,TRUE,
38,MSA,لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماًً .,لقد/part_verb قمت/verb بتسديد/noun ثمن/noun الوجبات/noun ورسوم/noun الفندق/noun مقدماًً/adv ./punc,,TRUE,
40,MSA,"أبحث عن مطعم جيد ، للمشويات . هل يمكنك أن تشير إلى أماكن تلك المطاعم على الخريطة ؟","أبحث/verb عن/prep مطعم/noun جيد/adj ،/punc للمشويات/noun ./punc هل/part_interrog يمكنك/verb أن/conj_sub تشير/verb إلى/prep أماكن/noun تلك/pron_dem المطاعم/noun على/prep الخريطة/noun ؟/punc",,TRUE,
42,MSA,"أنت تقوم بكسرها ، فأنت الذي اشتريتها .","أنت/pron تقوم/verb بكسرها/noun ،/punc فأنت/pron الذي/pron_rel اشتريتها/verb ./punc",,TRUE,
46,MSA,سوف أخبرها بأن تتصل بك بمجرد أن تصل .,سوف/part_fut أخبرها/verb بأن/conj_sub تتصل/verb بك/prep بمجرد/noun أن/conj_sub تصل/verb ./punc,,TRUE,
50,MSA,هل تحب أن تضع قشدة وسكر في قهوتك ؟,هل/part_interrog تحب/verb أن/conj_sub تضع/verb قشدة/noun وسكر/noun في/prep قهوتك/noun ؟/punc,,TRUE,
51,MSA,لقد أصيبت إصابة بالغة .,لقد/part_verb أصيبت/verb إصابة/noun بالغة/adj ./punc,,TRUE,
52,MSA,أريد قداحة .,أريد/verb قداحة/noun ./punc,,TRUE,
53,MSA,هل لدى هذا الفندق تجهيزات للمؤتمرات ؟,هل/part_interrog لدى/prep هذا/pron_dem الفندق/noun تجهيزات/noun للمؤتمرات/noun ؟/punc,,TRUE,
56,MSA,هل من المناسب أن نتناول وجبة خفيفة ؟,هل/part_interrog من/prep المناسب/adj أن/conj_sub نتناول/verb وجبة/noun خفيفة/adj ؟/punc,,TRUE,
57,MSA,أنا أتصل من المطار . سأصل هناك في حوالي الساعة الرابعة .,أنا/pron أتصل/verb من/prep المطار/noun ./punc سأصل/verb هناك/adv في/prep حوالي/noun_quant الساعة/noun الرابعة/adj ./punc,,TRUE,
62,MSA,أين سأغير إلى شيكاغو .,أين/adv_interrog سأغير/verb إلى/prep شيكاغو/noun_prop ./punc,,TRUE,
63,MSA,كم تكلفة إرسال خطاب مسجل إلى فرنسا ؟,كم/pron_interrog تكلفة/noun إرسال/noun خطاب/noun مسجل/adj إلى/prep فرنسا/noun_prop ؟/punc,,TRUE,
64,MSA,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟,هل/part_interrog يمكنكم/verb صرف/noun الشيك/noun ذو/noun المائتي/noun_num دولار/noun الخاص/adj بي/prep ؟/punc,,TRUE,
68,MSA,إن القيادة على الجانب الأيمن من الطريق مختلفة تماماً بالفعل .,إن/conj_sub القيادة/noun على/prep الجانب/noun الأيمن/adj من/prep الطريق/noun مختلفة/adj تماماً/adv بالفعل/adv ./punc,,TRUE,
69,MSA,كان الممثل رائعا بالفعل .,كان/verb_pseudo الممثل/noun رائعا/adj بالفعل/adv ./punc,,TRUE,
72,MSA,أين الجانب غير الخيالي في شخصيتك ؟,أين/adv_interrog الجانب/noun غير/adv الخيالي/adj في/prep شخصيتك/noun ؟/punc,,TRUE,
74,MSA,"إذا حدث ذلك ، من فضلك أتصل بي .","إذا/conj_sub حدث/verb ذلك/pron_dem ،/punc من/prep فضلك/noun أتصل/verb بي/prep ./punc",,TRUE,
78,MSA,هل يمكن أن تغير مقعدي من فضلك ؟,هل/part_interrog يمكن/verb أن/conj_sub تغير/verb مقعدي/noun من/prep فضلك/noun ؟/punc,,TRUE,
79,MSA,هل هناك ضمانا ؟,هل/part_interrog هناك/adv ضمانا/noun ؟/punc,,TRUE,
83,MSA,"عفوا , أنا سأعتني بالكلب .","عفوا/interj ,/punc أنا/pron سأعتني/verb بالكلب/noun ./punc",,TRUE,
84,MSA,أريد تذكرتين للقطط ليوم الخميس .,أريد/verb تذكرتين/noun للقطط/noun ليوم/noun الخميس/noun ./punc,,TRUE,
86,MSA,أين المقهى ؟,أين/adv_interrog المقهى/noun ؟/punc,,TRUE,
87,MSA,أريد جاكيت للأطفال .,أريد/verb جاكيت/noun للأطفال/noun ./punc,,TRUE,
89,MSA,اسمك مرة ثانية ؟,اسمك/noun مرة/noun ثانية/adj ؟/punc,,TRUE,
90,MSA,هل مستر برون هناك ؟,هل/part_interrog مستر/noun برون/noun_prop هناك/adv ؟/punc,,TRUE,
91,MSA,حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .,حسنا/noun ./punc إنها/verb_pseudo تتكلف/verb خمسة/noun_num وثمانون/noun_num دولارا/noun في/prep البريد/noun العادي/adj وثلاثة/noun_num دولارات/noun في/prep التوصيل/noun الخاص/adj ./punc,,TRUE,
92,MSA,هل يمكن أن أؤجر قارب ليوم ؟,هل/part_interrog يمكن/verb أن/conj_sub أؤجر/verb قارب/noun ليوم/noun ؟/punc,,TRUE,
93,MSA,عند أي نافذة يمكن أن أقوم بعمل الحجز ؟,عند/prep أي/pron_interrog نافذة/noun يمكن/verb أن/conj_sub أقوم/verb بعمل/noun الحجز/noun ؟/punc,,TRUE,
94,MSA,ما هذا ؟,ما/pron_interrog هذا/pron_dem ؟/punc,,TRUE,
96,MSA,هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا ؟,هل/part_interrog يمكنك/verb أن/conj_sub تخبريني/verb كيف/adv_interrog أستطيع/verb أن/conj_sub أصل/verb إلى/prep الأوبرا/noun_prop ؟/punc,,TRUE,
97,MSA,ألم تكن مخمور بدرجة كبيرة بعض الشيء في الليلة الماضية يا عزيزي ؟,"ألم/part_interrog تكن/verb مخمور/adj بدرجة/noun كبيرة/adj بعض/noun الشيء/noun في/prep الليلة/noun الماضية/adj يا/part_voc عزيزي/adj ؟/punc",,TRUE,
98,MSA,من فضلك اتبع التعليمات الصادرة من موظفينا .,من/prep فضلك/noun اتبع/verb التعليمات/noun الصادرة/adj من/prep موظفينا/noun ./punc,,TRUE,
100,MSA,هل يوجد هنا محل متعدد الأقسام بالقرب من هنا .,هل/part_interrog يوجد/verb هنا/adv محل/noun متعدد/adj الأقسام/noun بالقرب/noun من/prep هنا/adv ./punc,,TRUE,
102,MSA,املأ خزان الوقود من فضلك .,املأ/verb خزان/noun الوقود/noun من/prep فضلك/noun ./punc,,TRUE,
103,MSA,هل يوجد غرفة بسعر أرخص ؟,هل/part_interrog يوجد/verb غرفة/noun بسعر/noun أرخص/adj ؟/punc,,TRUE,
104,MSA,أفضل سيارة بها نظام إلي لنقل الحركة .,أفضل/verb سيارة/noun بها/prep نظام/noun إلي/prep لنقل/noun الحركة/noun ./punc,,TRUE,
105,MSA,سأقيم في مسكن الطلبة الخاص بجامعة هارفارد .,سأقيم/verb في/prep مسكن/noun الطلبة/noun الخاص/adj بجامعة/noun هارفارد/noun_prop ./punc,,TRUE,
106,MSA,ما هو سعر الصرف اليوم ؟,ما/pron_interrog هو/pron سعر/noun الصرف/noun اليوم/noun ؟/punc,,TRUE,
108,MSA,أعاني بشكل مزمن من الربو .,أعاني/verb بشكل/noun مزمن/adj من/prep الربو/noun ./punc,,TRUE,
109,MSA,معي حوالي ثلاثة آلاف دولاراً .,معي/prep حوالي/noun_quant ثلاثة/noun آلاف/noun دولاراً/noun ./punc,,TRUE,
111,MSA,"حسناً ، سيدي . فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم ، أيهما تحب ؟","حسناً/interj ،/punc سيدي/noun ./punc فقد/part_verb أتت/verb بخيارين/noun مقليات/noun فرنسية/adj أو/conj أرز/noun بالتوابل/noun واللحم/noun ،/punc أيهما/pron_interrog تحب/verb ؟/punc",,TRUE,
112,MSA,كيف أصل إلى ذلك المكان ؟,كيف/adv_interrog أصل/verb إلى/prep ذلك/pron_dem المكان/noun ؟/punc,,TRUE,
113,MSA,أي نوع من القصص هي ؟,أي/pron_interrog نوع/noun من/prep القصص/noun هي/pron ؟/punc,,TRUE,
115,MSA,ثلاث مرات .,ثلاث/noun_num مرات/noun ./punc,,TRUE,
116,MSA,أي نافذة تبيع الطوابع ؟,أي/pron_interrog نافذة/noun تبيع/verb الطوابع/noun ؟/punc,,TRUE,
117,MSA,"بعد أن هاجمني ، هرب في شاحنة بيضاء .","بعد/noun أن/conj_sub هاجمني/verb ،/punc هرب/verb في/prep شاحنة/noun بيضاء/adj ./punc",,TRUE,
119,MSA,حسنا . من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار .,حسنا/noun ./punc من/prep فضلك/noun احتفظ/verb بهذه/pron_dem القسيمة/noun وقدمها/verb عندما/adv تقوم/verb بالاختيار/noun ./punc,,TRUE,
120,MSA,كنت سأشتري هذا إن كنت في مكانك ؟,كنت/verb سأشتري/verb هذا/pron_dem إن/conj كنت/verb في/prep مكانك/noun ؟/punc,,TRUE,
122,MSA,مائتي دولار . فوري أم عبر البطاقات الائتمانية .,مائتي/noun دولار/noun ./punc فوري/adj أم/conj عبر/prep البطاقات/noun الائتمانية/adj ./punc,,TRUE,
125,MSA,كم من الوقت تستغرق السفينة لعبور هذا المحيط ؟,كم/adv_interrog من/prep الوقت/noun تستغرق/verb السفينة/noun لعبور/noun هذا/pron_dem المحيط/noun ؟/punc,,TRUE,
128,MSA,هل علىّ أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء ؟,هل/part_interrog علىّ/prep أن/conj_sub أتجنب/verb أنواع/noun معينة/adj من/prep الطعام/noun خلال/prep فترة/noun تناولي/noun هذا/pron_dem الدواء/noun ؟/punc,,TRUE,
129,MSA,هل لديك أحذية حريمي عند أصابع القدم ؟,هل/part_interrog لديك/prep أحذية/noun حريمي/adj عند/prep أصابع/noun القدم/noun ؟/punc,,TRUE,
130,MSA,هل ستواجهني أية صعوبات في الجمارك ؟,هل/part_interrog ستواجهني/verb أية/pron_interrog صعوبات/noun في/prep الجمارك/noun ؟/punc,,TRUE,
131,MSA,هل لي ببعض النبيذ الأحمر ؟,هل/part_interrog لي/prep ببعض/adj النبيذ/noun الأحمر/adj ؟/punc,,TRUE,
133,MSA,أخبرني عندما نصل إلى المتحف .,أخبرني/verb عندما/conj_sub نصل/verb إلى/prep المتحف/noun ./punc,,TRUE,
134,MSA,هل يذهب هذا الأتوبيس إلى فندق الشيراتون .,هل/part_interrog يذهب/verb هذا/pron_dem الأتوبيس/noun إلى/prep فندق/noun الشيراتون/noun_prop ./punc,,TRUE,
135,MSA,إلى أي شيء وصل ذلك الأمر ؟,إلى/prep أي/part شيء/noun وصل/verb ذلك/pron_dem الأمر/noun ؟/punc,,TRUE,
136,MSA,إنه ساخن بدرجة بسيطة . هل يمكن أن أفتح النافذة ؟,إنه/pron_dem ساخن/adj بدرجة/noun بسيطة/adj ./punc هل/part_interrog يمكن/verb أن/conj_sub أفتح/verb النافذة/noun ؟/punc,,TRUE,
138,MSA,فقط دش يكفي .,فقط/adv دش/noun يكفي/verb ./punc,,TRUE,
139,MSA,عيني محمرة قليلا .,عيني/noun محمرة/adj قليلا/adj ./punc,,TRUE,
140,MSA,"لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .","لا/part_neg ،/punc هل/part_interrog لي/prep أن/conj_sub أقترح/verb أخذ/verb غرفة/noun ذات/noun سريرين/noun للاستخدام/noun الفردي/adj ؟/punc فنحن/pron لدينا/prep واحدة/adj ./punc",,TRUE,
142,MSA,لا أستطيع تأكيد ذلك لكنا سنبذل قصارى جهدنا .,لا/part_neg أستطيع/verb تأكيد/noun ذلك/pron_dem لكنا/conj سنبذل/verb قصارى/adj جهدنا/noun ./punc,,TRUE,
143,MSA,"أريد تمويج متقارب لشعري ، من فضلك .","أريد/verb تمويج/noun متقارب/adj لشعري/noun ،/punc من/prep فضلك/noun ./punc",,TRUE,
144,MSA,كان البحر إلى الأسفل من بعيد .,كان/verb_pseudo البحر/noun إلى/prep الأسفل/adj من/prep بعيد/adj ./punc,,TRUE,
145,MSA,هي تريد بيرة .,هي/pron تريد/verb بيرة/noun ./punc,,TRUE,
146,MSA,أنت بحاجة إلى إجراء عملية .,أنت/pron بحاجة/noun إلى/prep إجراء/noun عملية/noun ./punc,,TRUE,
147,MSA,المزيد من البيض من فضلك .,المزيد/adj من/prep البيض/noun من/prep فضلك/noun ./punc,,TRUE,
148,MSA,أين محطة الأتوبيس المتجه إلى سنترال بارك ؟,أين/adv_interrog محطة/noun الأتوبيس/noun المتجه/adj إلى/prep سنترال/noun بارك/noun ؟/punc,,TRUE,
149,MSA,سيارة أجرة ؟,سيارة/noun أجرة/noun ؟/punc,,TRUE,
151,MSA,"ها هو مفتاحك ، يا سيدي . غرفة ستة وخمسون إثنى عشر .","ها/pron_dem هو/pron مفتاحك/noun ،/punc يا/part_voc سيدي/noun ./punc غرفة/noun ستة/noun_num وخمسون/noun_num إثنى/noun_num عشر/noun_num ./punc",,TRUE,
153,MSA,أحب الجاكت الخاص بك .,أحب/verb الجاكت/noun الخاص/adj بك/prep ./punc,,TRUE,
154,MSA,استمر .,استمر/verb ./punc,,TRUE,
155,MSA,ها نحن قد وصلنا هذا هو فندقك .,ها/pron_dem نحن/pron قد/part_verb وصلنا/verb هذا/pron_dem هو/pron فندقك/noun ./punc,,TRUE,
156,MSA,متى بدأت مباراة كرة السلة ؟,متى/adv_interrog بدأت/verb مباراة/noun كرة/noun السلة/noun ؟/punc,,TRUE,
157,MSA,صباح الخير . كيف حالك .,صباح/noun الخير/noun ./punc كيف/adv_interrog حالك/noun ./punc,,TRUE,
158,MSA,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .,أسف/noun أنني/conj_sub بحاجة/noun إلى/prep أن/conj_sub أطلع/verb على/prep أي/noun_quant مستند/noun لتحديد/noun الهوية/noun ./punc,,TRUE,
159,MSA,ماذا كان انطباعك ؟,ماذا/pron_interrog كان/verb_pseudo انطباعك/noun ؟/punc,,TRUE,
160,MSA,بالتأكيد . هل ترغب في تناول القهوة مع العشاء أم بعد ذلك ؟,بالتأكيد/adv ./punc هل/part_interrog ترغب/verb في/prep تناول/noun القهوة/noun مع/prep العشاء/noun أم/conj بعد/prep ذلك/pron_dem ؟/punc,,TRUE,
161,MSA,إنني سأستقل الرحلة الجوية رقم اثنى عشر المتجهة إلى طوكيو .,إنني/conj سأستقل/verb الرحلة/noun الجوية/adj رقم/noun اثنى/noun_num عشر/noun_num المتجهة/adv إلى/prep طوكيو/noun_prop ./punc,,TRUE,
162,MSA,"أود إجراء مكالمة دولية ، من فضلك ؟","أود/verb إجراء/noun مكالمة/noun دولية/adj ،/punc من/prep فضلك/noun ؟/punc",,TRUE,
0,Beirut,"هوي بأخر الصالة . رح جبلك شوي هلأ. إذا بدك شي تاني، بس عطيني خبر.","هوي/pron بأخر/adj الصالة/noun ./punc رح/part_fut جبلك/verb شوي/adj هلأ/adv ./punc إذا/conj_sub بدك/verb شي/noun تاني/adj ،/punc بس/adv عطيني/verb خبر/noun ./punc",,TRUE,
2,Beirut,بتعمل تعديلات؟,بتعمل/verb تعديلات/noun ؟/punc,,TRUE,
4,Beirut,بدنا طاولة حد الشباك .,بدنا/verb طاولة/noun حد/noun الشباك/noun ./punc,,TRUE,
5,Beirut,"صار هونيك، بالظبط قدام مكتب استعلامات السياح.","صار/verb هونيك/adv ،/punc بالظبط/adv قدام/prep مكتب/noun استعلامات/noun السياح/noun ./punc",,TRUE,
9,Beirut,بعمري ما سمعت بهالعنوان هون .,بعمري/noun ما/part_neg سمعت/verb بهالعنوان/noun هون/adj ./punc,,TRUE,
11,Beirut,روح دغري لحتى تشوف صيدلية.,روح/verb دغري/adv لحتى/conj_sub تشوف/verb صيدلية/noun ./punc,,TRUE,
12,Beirut,شو هوي أجد لون لهالموسم؟,شو/pron_interrog هوي/pron أجد/adj لون/noun لهالموسم/noun ؟/punc,,TRUE,
14,Beirut,"بحالتي، عادة بيكون شغل، وقليل ليكون كرمال الترفيه.","بحالتي/noun ،/punc عادة/adv بيكون/verb شغل/noun ،/punc وقليل/adv ليكون/verb كرمال/prep الترفيه/noun ./punc",,TRUE,
15,Beirut,رح إبقى يومين.,رح/part_fut إبقى/verb يومين/noun ./punc,,TRUE,
16,Beirut,بدي كيرلي ضيق.,بدي/verb كيرلي/noun ضيق/adj ./punc,,TRUE,
17,Beirut,حابب إحجز أوضتين بتختين.,حابب/verb إحجز/verb أوضتين/noun بتختين/noun ./punc,,TRUE,
18,Beirut,ما بدي ياه منزوع.,ما/part_neg بدي/verb ياه/pron منزوع/adj ./punc,,TRUE,
19,Beirut,هيدا الباص بيوقف بشارع ستونر؟,هيدا/pron_dem الباص/noun بيوقف/verb بشارع/noun ستونر/noun_prop ؟/punc,,TRUE,
24,Beirut,عمول معروف فتاح تمك عالواسع.,عمول/verb معروف/noun فتاح/verb تمك/noun عالواسع/adv ./punc,,TRUE,
26,Beirut,أدي حق الترويقة؟,أدي/adv_interrog حق/noun الترويقة/noun ؟/punc,,TRUE,
27,Beirut,كيف فيني ساعدك؟,كيف/adv_interrog فيني/prep ساعدك/verb ؟/punc,,TRUE,
29,Beirut,تعوا ناكل لقمة.,تعوا/verb ناكل/verb لقمة/noun ./punc,,TRUE,
30,Beirut,روح شمال عالزاوية التالتة.,روح/verb شمال/adv عالزاوية/noun التالتة/adj ./punc,,TRUE,
31,Beirut,بتنضف هالتياب؟,بتنضف/verb هالتياب/noun ؟/punc,,TRUE,
37,Beirut,أنا بعطيك رقم تلفونو و عنوانو.,أنا/pron بعطيك/verb رقم/noun تلفونو/noun و/conj عنوانو/noun ./punc,,TRUE,
38,Beirut,أنا دفعت وجبات الأكل و مصاريف الأوتيل من قبل.,أنا/pron دفعت/verb وجبات/noun الأكل/noun و/conj مصاريف/noun الأوتيل/noun من/prep قبل/noun ./punc,,TRUE,
40,Beirut,عمفتش على مطعم رايق و حلو للشوي . بتحط عليهن إشارة عهالخريطة؟,عمفتش/verb على/prep مطعم/noun رايق/adj و/conj حلو/adj للشوي/noun ./punc بتحط/verb عليهن/prep إشارة/noun عهالخريطة/noun ؟/punc,,TRUE,
42,Beirut,"إذا كسرته، تشتريه.","إذا/conj_sub كسرته/verb ،/punc تشتريه/verb ./punc",,TRUE,
46,Beirut,رح قلا تدقلك شي إنو ترجع.,رح/part_fut قلا/verb تدقلك/verb شي/noun إنو/conj_sub ترجع/verb ./punc,,TRUE,
50,Beirut,عبالك كريمة و سكر بقهوتك؟,عبالك/noun كريمة/noun و/conj سكر/noun بقهوتك/noun ؟/punc,,TRUE,
51,Beirut,هيي عنجد منصابة.,هيي/pron عنجد/adv منصابة/noun ./punc,,TRUE,
52,Beirut,بدي قداحة.,بدي/verb قداحة/noun ./punc,,TRUE,
53,Beirut,هالأوتيل عندو تجهيزات لمؤتمر؟,هالأوتيل/noun عندو/prep تجهيزات/noun لمؤتمر/noun ؟/punc,,TRUE,
56,Beirut,معليش إذا أخدنا وجبة خفيفة؟,معليش/interj إذا/conj_sub أخدنا/verb وجبة/noun خفيفة/adj ؟/punc,,TRUE,
57,Beirut,عمبتصل من المطار . رح كون هونيك حوالي الأربعة.,عمبتصل/verb من/prep المطار/noun ./punc رح/part_fut كون/verb هونيك/adv حوالي/noun_quant الأربعة/noun_num ./punc,,TRUE,
62,Beirut,وين بنقل على شيكاغو؟,وين/adv_interrog بنقل/verb على/prep شيكاغو/noun_prop ؟/punc,,TRUE,
63,Beirut,أدي حق رسالة مسجلة لتنبعت على فرنسا؟,أدي/pron_interrog حق/noun رسالة/noun مسجلة/adj لتنبعت/verb على/prep فرنسا/noun_prop ؟/punc,,TRUE,
64,Beirut,فيك تصرفلي الشيك تبعي تبع المتين دولار؟,فيك/prep تصرفلي/verb الشيك/noun تبعي/noun تبع/prep المتين/noun_num دولار/noun ؟/punc,,TRUE,
68,Beirut,عنجد كتيرمختلفة السواقة عالميلة اليمين من الشارع.,عنجد/adv كتيرمختلفة/adj السواقة/noun عالميلة/noun اليمين/noun من/prep الشارع/noun ./punc,,TRUE,
69,Beirut,الممثل عنجد بيعقد.,الممثل/noun عنجد/adv بيعقد/verb ./punc,,TRUE,
72,Beirut,وين القسم تبعك اللي مش خيالي؟,وين/adv_interrog القسم/noun تبعك/noun اللي/pron_dem مش/part_neg خيالي/adj ؟/punc,,TRUE,
74,Beirut,"إذا لازم يبين، عمل معروف دقلي.","إذا/conj_sub لازم/verb يبين/verb ،/punc عمل/verb معروف/noun دقلي/verb ./punc",,TRUE,
78,Beirut,فيك تغيرلي مقعدي؟,فيك/prep تغيرلي/verb مقعدي/noun ؟/punc,,TRUE,
79,Beirut,في كقالة؟,في/prep كقالة/noun ؟/punc,,TRUE,
83,Beirut,"بعتذر، رح إهتم بالكلب.","بعتذر/verb ،/punc رح/part_fut إهتم/verb بالكلب/noun ./punc",,TRUE,
84,Beirut,"بدي بطاقتين لل ""بسينات""، لهالخميس.","بدي/verb بطاقتين/noun لل/prep ""/punc بسينات/noun_prop ""/punc ،/punc لهالخميس/noun ./punc",,TRUE,
86,Beirut,وين القهوة؟,وين/adv_interrog القهوة/noun ؟/punc,,TRUE,
87,Beirut,بدي كنزة للولاد.,بدي/verb كنزة/noun للولاد/noun ./punc,,TRUE,
89,Beirut,إسمك مرة تاني؟,إسمك/noun مرة/noun تاني/adj ؟/punc,,TRUE,
90,Beirut,إستاذ براون هون؟,إستاذ/noun براون/noun_prop هون/adj ؟/punc,,TRUE,
91,Beirut,"أوك، بيكلف خمس و تمانين سنت للإيميل العادي و تلاتي دولار بالظبط زيادة للتوصيل الخاص.","أوك/noun ،/punc بيكلف/verb خمس/noun_num و/conj تمانين/noun_num سنت/noun للإيميل/noun العادي/adj و/prep تلاتي/noun_num دولار/noun بالظبط/adv زيادة/noun للتوصيل/noun الخاص/adj ./punc",,TRUE,
92,Beirut,فيني إستأجر يخت ليوم واحد؟,فيني/part_interrog إستأجر/verb يخت/noun ليوم/noun واحد/noun_num ؟/punc,,TRUE,
93,Beirut,عأي شباك فيني إحجز؟,عأي/noun_quant شباك/noun فيني/prep إحجز/verb ؟/punc,,TRUE,
94,Beirut,شو هيدا؟,شو/part_interrog هيدا/pron_dem ؟/punc,,TRUE,
96,Beirut,فيك تقلي كيف بوصل عالأوبيرا؟,فيك/prep تقلي/verb كيف/adv_interrog بوصل/verb عالأوبيرا/noun_prop ؟/punc,,TRUE,
97,Beirut,"ما كنت مبارح سكران شوي، حبيبي؟","ما/part_neg كنت/verb مبارح/noun سكران/adj شوي/noun ،/punc حبيبي/noun ؟/punc",,TRUE,
98,Beirut,اذا بتريد لحاق التعليمات من فريقنا .,اذا/conj_sub بتريد/verb لحاق/noun التعليمات/noun من/prep فريقنا/noun ./punc,,TRUE,
100,Beirut,في محل شامل قريب من هون؟,في/prep محل/noun شامل/adj قريب/adj من/prep هون/adv ؟/punc,,TRUE,
102,Beirut,"فولا، إذا بتريد.","فولا/interj ،/punc إذا/conj_sub بتريد/verb ./punc",,TRUE,
103,Beirut,في أوضة أرخص؟,في/prep أوضة/noun أرخص/adj ؟/punc,,TRUE,
104,Beirut,بفضل سيارة أوتوماتيك.,بفضل/verb سيارة/noun أوتوماتيك/adj ./punc,,TRUE,
105,Beirut,رح إبقى بالفوا ييه تبع جامعة هارفرد.,رح/part_fut إبقى/verb بالفوا/noun ييه/noun تبع/prep جامعة/noun هارفرد/noun_prop ./punc,,TRUE,
106,Beirut,شو هوي المعدل تبع اليوم؟,شو/part_interrog هوي/pron المعدل/noun تبع/prep اليوم/noun ؟/punc,,TRUE,
108,Beirut,عندي ربو مزمن.,عندي/prep ربو/noun مزمن/adj ./punc,,TRUE,
109,Beirut,معي حوالي تلات تلاف دولار.,معي/prep حوالي/noun_quant تلات/noun_num تلاف/noun دولار/noun ./punc,,TRUE,
111,Beirut,"ماشي، إستاذ. بيجي معو بطاطا مقلية أو رز بالبيلاف. أياهن بتحب؟","ماشي/interj ،/punc إستاذ/noun ./punc بيجي/verb معو/prep بطاطا/noun مقلية/adj أو/conj رز/noun بالبيلاف/noun ./punc أياهن/pron_interrog بتحب/verb ؟/punc",,TRUE,
112,Beirut,كيف بوصل لهالمطرح؟,كيف/adv_interrog بوصل/verb لهالمطرح/noun ؟/punc,,TRUE,
113,Beirut,شو نوع القصة؟,شو/part_interrog نوع/noun القصة/noun ؟/punc,,TRUE,
